ticket_id,created_at,customer_name,customer_segment,plan_type,arr_band,priority,status,channel,subject,description,product_area,sentiment,csat_score,first_response_hours,resolution_hours,bot_solvable_label
TCK-1016,2026-01-05,Finchly,SMB,Starter,<$25K,Critical,Closed,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Core Platform,Negative,2,2.3,24.1,product_bug
TCK-1017,2026-01-18,Acme Finance,Enterprise,Enterprise,$500K+,Low,Closed,Chat,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Onboarding,Positive,4,6.0,85.6,bot_solvable
TCK-1018,2026-04-19,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Critical,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Integrations,Very Negative,1,6.5,41.2,human_required
TCK-1019,2026-04-26,Atlas Security,Enterprise,Enterprise,$500K+,High,In Progress,Chat,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Automation,Very Negative,1,3.2,53.4,human_required
TCK-1020,2026-01-19,Finchly,SMB,Starter,<$25K,Medium,Closed,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Core Platform,Neutral,3,0.8,5.4,product_bug
TCK-1021,2026-03-13,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Closed,Slack Connect,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Integrations,Positive,5,1.4,80.1,human_required
TCK-1022,2026-04-15,LumaHR,Mid-Market,Pro,$50K-$100K,Medium,Open,Email,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Onboarding,Positive,4,3.3,39.0,bot_solvable
TCK-1023,2026-01-26,Summit Legal,Mid-Market,Pro,$50K-$100K,High,Closed,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Security,Negative,2,7.2,18.2,bot_solvable
TCK-1024,2026-02-05,LumaHR,Mid-Market,Pro,$50K-$100K,High,In Progress,Slack Connect,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Integrations,Neutral,3,2.4,80.1,human_required
TCK-1025,2026-05-19,OrbitOps,Mid-Market,Growth,$100K-$250K,Critical,Escalated,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Analytics,Very Negative,1,1.7,43.5,product_bug
TCK-1026,2026-02-12,Nimbus Retail,SMB,Pro,$25K-$50K,Low,Open,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Product,Positive,5,2.5,68.8,feature_request
TCK-1027,2026-05-23,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Low,Open,Email,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Billing,Positive,4,2.1,8.9,bot_solvable
TCK-1028,2026-01-13,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,Closed,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Neutral,3,0.7,44.3,product_bug
TCK-1029,2026-03-02,Acme Finance,Enterprise,Enterprise,$500K+,Medium,Open,Email,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Security,Positive,5,2.4,53.2,bot_solvable
TCK-1030,2026-05-25,Nimbus Retail,SMB,Pro,$25K-$50K,Low,In Progress,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Security,Positive,4,2.0,62.7,bot_solvable
TCK-1031,2026-03-18,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Low,In Progress,Email,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Billing,Neutral,3,0.3,53.2,bot_solvable
TCK-1032,2026-05-10,Acme Finance,Enterprise,Enterprise,$500K+,High,Open,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Integrations,Negative,2,8.0,82.1,human_required
TCK-1033,2026-05-20,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,Closed,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Analytics,Very Negative,1,6.1,53.6,product_bug
TCK-1034,2026-01-28,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Core Platform,Neutral,3,2.7,22.0,product_bug
TCK-1035,2026-03-09,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Closed,Portal,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Security,Neutral,3,1.0,37.7,bot_solvable
TCK-1036,2026-02-03,Northstar Analytics,Enterprise,Enterprise,$500K+,High,Open,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Analytics,Neutral,3,5.1,42.2,product_bug
TCK-1037,2026-02-08,Acme Finance,Enterprise,Enterprise,$500K+,Critical,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Analytics,Very Negative,1,4.0,9.4,product_bug
TCK-1038,2026-02-23,Northstar Analytics,Enterprise,Enterprise,$500K+,Medium,In Progress,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Automation,Negative,2,3.3,51.2,human_required
TCK-1039,2026-03-02,Finchly,SMB,Starter,<$25K,Medium,Escalated,Portal,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Onboarding,Neutral,3,8.0,12.0,bot_solvable
TCK-1040,2026-03-05,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Open,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Automation,Negative,2,3.6,8.8,human_required
TCK-1041,2026-04-28,LumaHR,Mid-Market,Pro,$50K-$100K,High,In Progress,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Core Platform,Negative,2,2.2,58.3,product_bug
TCK-1042,2026-01-18,Cobalt Labs,Startup,Starter,<$25K,High,In Progress,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The founder is asking whether there is a workaround. Account: Cobalt Labs.,Core Platform,Neutral,3,6.2,77.4,product_bug
TCK-1043,2026-03-08,Northstar Analytics,Enterprise,Enterprise,$500K+,High,Closed,Portal,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Analytics,Negative,2,0.5,51.4,product_bug
TCK-1044,2026-04-22,HarborCloud,Enterprise,Enterprise,$250K-$500K,Low,Escalated,Portal,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Onboarding,Neutral,3,3.6,52.9,bot_solvable
TCK-1045,2026-01-01,Northstar Analytics,Enterprise,Enterprise,$500K+,Low,Closed,Chat,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Onboarding,Positive,5,6.2,85.3,bot_solvable
TCK-1046,2026-03-26,Cobalt Labs,Startup,Starter,<$25K,Medium,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The founder is asking whether there is a workaround. Account: Cobalt Labs.,Billing,Negative,2,6.5,33.1,bot_solvable
TCK-1047,2026-04-14,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Closed,Chat,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Billing,Neutral,3,3.9,83.0,bot_solvable
TCK-1048,2026-04-14,Finchly,SMB,Starter,<$25K,Medium,Closed,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Integrations,Neutral,3,2.7,40.0,human_required
TCK-1049,2026-02-24,Atlas Security,Enterprise,Enterprise,$500K+,Low,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Billing,Positive,4,6.0,31.3,bot_solvable
TCK-1050,2026-03-02,Acme Finance,Enterprise,Enterprise,$500K+,Medium,In Progress,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Automation,Neutral,3,1.5,7.3,human_required
TCK-1051,2026-01-19,Finchly,SMB,Starter,<$25K,Medium,Closed,Slack Connect,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Automation,Positive,5,1.9,61.0,human_required
TCK-1052,2026-01-02,Nimbus Retail,SMB,Pro,$25K-$50K,Critical,Closed,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Core Platform,Very Negative,1,1.7,82.3,product_bug
TCK-1053,2026-02-01,Northstar Analytics,Enterprise,Enterprise,$500K+,High,Open,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Northstar Analytics.,Integrations,Neutral,3,6.1,89.1,human_required
TCK-1054,2026-05-10,Atlas Security,Enterprise,Enterprise,$500K+,Medium,Closed,Slack Connect,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Security,Positive,5,4.1,19.2,bot_solvable
TCK-1055,2026-03-05,Atlas Security,Enterprise,Enterprise,$500K+,Medium,In Progress,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Core Platform,Positive,4,5.7,30.2,product_bug
TCK-1056,2026-03-11,HarborCloud,Enterprise,Enterprise,$250K-$500K,High,In Progress,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Very Negative,1,1.4,22.4,product_bug
TCK-1057,2026-04-17,HarborCloud,Enterprise,Enterprise,$250K-$500K,High,In Progress,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Neutral,3,3.9,22.9,product_bug
TCK-1058,2026-01-06,Nimbus Retail,SMB,Pro,$25K-$50K,Low,Closed,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Product,Positive,4,2.8,36.8,feature_request
TCK-1059,2026-05-20,OrbitOps,Mid-Market,Growth,$100K-$250K,Low,Closed,Email,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Onboarding,Positive,5,2.1,39.8,bot_solvable
TCK-1060,2026-04-14,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Open,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Core Platform,Positive,4,8.3,90.7,product_bug
TCK-1061,2026-01-07,Nimbus Retail,SMB,Pro,$25K-$50K,High,Closed,Portal,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Security,Negative,2,7.8,24.7,bot_solvable
TCK-1062,2026-04-27,Nimbus Retail,SMB,Pro,$25K-$50K,High,In Progress,Slack Connect,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Core Platform,Neutral,3,2.6,82.6,product_bug
TCK-1063,2026-05-01,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,Closed,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Automation,Very Negative,1,9.0,39.7,human_required
TCK-1064,2026-01-08,Summit Legal,Mid-Market,Pro,$50K-$100K,High,In Progress,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Analytics,Very Negative,1,5.7,27.3,product_bug
TCK-1065,2026-02-25,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Closed,Email,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Analytics,Neutral,3,1.7,53.5,product_bug
TCK-1066,2026-01-28,BrightCart,Mid-Market,Growth,$100K-$250K,Medium,Closed,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Product,Positive,5,6.2,86.8,feature_request
TCK-1067,2026-03-04,HarborCloud,Enterprise,Enterprise,$250K-$500K,Critical,Closed,Email,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Negative,2,7.7,58.9,product_bug
TCK-1068,2026-03-30,Finchly,SMB,Starter,<$25K,Low,Closed,Email,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Onboarding,Positive,4,0.8,55.9,bot_solvable
TCK-1069,2026-01-28,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Escalated,Portal,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Automation,Positive,4,6.4,44.1,human_required
TCK-1070,2026-05-18,Finchly,SMB,Starter,<$25K,Medium,Closed,Email,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Automation,Positive,5,2.6,74.4,human_required
TCK-1071,2026-03-04,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Medium,Closed,Portal,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Automation,Positive,4,3.2,45.7,human_required
TCK-1072,2026-04-01,BrightCart,Mid-Market,Growth,$100K-$250K,High,In Progress,Email,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Integrations,Positive,4,6.4,31.1,human_required
TCK-1073,2026-01-22,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Slack Connect,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Product,Positive,4,5.1,26.8,feature_request
TCK-1074,2026-04-25,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,Open,Portal,Setup documentation is confusing for first workspace,Customer says the onboarding guide skips required setup steps and does not explain the workspace approval flow. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Onboarding,Neutral,3,3.8,25.8,bot_solvable
TCK-1075,2026-03-30,Atlas Security,Enterprise,Enterprise,$500K+,High,Escalated,Portal,Salesforce integration stopped syncing records,The Salesforce integration has not synced account updates since yesterday. Admins see an API authentication error. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Integrations,Positive,4,3.1,62.7,human_required
TCK-1076,2026-01-31,Evergreen Health,Enterprise,Enterprise,$250K-$500K,Medium,In Progress,Chat,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Core Platform,Negative,2,6.7,86.7,product_bug
TCK-1077,2026-05-04,LumaHR,Mid-Market,Pro,$50K-$100K,High,Closed,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Core Platform,Negative,2,8.8,79.1,product_bug
TCK-1078,2026-03-19,LumaHR,Mid-Market,Pro,$50K-$100K,High,Closed,Portal,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Billing,Negative,2,2.6,84.5,bot_solvable
TCK-1079,2026-05-06,HarborCloud,Enterprise,Enterprise,$250K-$500K,Medium,Closed,Portal,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Product,Positive,5,2.7,44.0,feature_request
TCK-1080,2026-03-06,BrightCart,Mid-Market,Growth,$100K-$250K,Low,Open,Email,Request for custom approval templates,Customer asks for reusable workflow templates by department and says this is blocking broader rollout. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Product,Neutral,3,3.7,11.8,feature_request
TCK-1081,2026-05-25,BrightCart,Mid-Market,Growth,$100K-$250K,High,Open,Chat,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The customer says the issue is slowing a planned rollout. Account: BrightCart.,Analytics,Negative,2,1.2,65.9,product_bug
TCK-1082,2026-04-24,OrbitOps,Mid-Market,Growth,$100K-$250K,Medium,Closed,Email,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The customer says the issue is slowing a planned rollout. Account: OrbitOps.,Billing,Positive,4,2.9,55.8,bot_solvable
TCK-1083,2026-03-09,LumaHR,Mid-Market,Pro,$50K-$100K,Low,Open,Email,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The customer says the issue is slowing a planned rollout. Account: LumaHR.,Security,Positive,4,1.7,9.9,bot_solvable
TCK-1084,2026-05-01,Nimbus Retail,SMB,Pro,$25K-$50K,Medium,Open,Slack Connect,Invoice total does not match contract renewal,The invoice shows an unexpected charge after renewal. Customer asks for a clear explanation before finance approves payment. The admin needs a fast answer because they do not have dedicated ops support. Account: Nimbus Retail.,Billing,Neutral,3,6.4,66.0,bot_solvable
TCK-1085,2026-03-09,Acme Finance,Enterprise,Enterprise,$500K+,Low,Closed,Chat,SSO login fails for new admin role,A newly added admin cannot log in through SSO. The role mapping and permissions are unclear in the setup guide. The account team says this is visible to executive stakeholders. Account: Acme Finance.,Security,Positive,4,3.9,50.6,bot_solvable
TCK-1086,2026-01-19,Evergreen Health,Enterprise,Enterprise,$250K-$500K,High,Open,Portal,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The account team says this is visible to executive stakeholders. Account: Evergreen Health.,Automation,Negative,2,5.4,75.0,human_required
TCK-1087,2026-03-19,Atlas Security,Enterprise,Enterprise,$500K+,Medium,Escalated,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The account team says this is visible to executive stakeholders. Account: Atlas Security.,Analytics,Positive,4,4.1,55.1,product_bug
TCK-1088,2026-03-06,HarborCloud,Enterprise,Enterprise,$250K-$500K,Critical,Open,Portal,Reports are loading slowly during business hours,The dashboard takes more than 30 seconds to load and sometimes freezes after filters are applied. The account team says this is visible to executive stakeholders. Account: HarborCloud.,Core Platform,Very Negative,1,9.0,66.1,product_bug
TCK-1089,2026-02-14,Finchly,SMB,Starter,<$25K,Medium,Closed,Slack Connect,Dashboard export failing for finance team,Users cannot export dashboard data to CSV for month-end reporting. The download either times out or returns an empty spreadsheet. The admin needs a fast answer because they do not have dedicated ops support. Account: Finchly.,Analytics,Positive,4,8.3,25.2,product_bug
TCK-1090,2026-01-24,Summit Legal,Mid-Market,Pro,$50K-$100K,Medium,In Progress,Chat,Workflow rule triggered the wrong approval path,A workflow automation sent an enterprise approval to the wrong team. The trigger conditions are hard to audit. The customer says the issue is slowing a planned rollout. Account: Summit Legal.,Automation,Neutral,3,3.0,13.6,human_required
